,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
participant_intercept[50],-0.792,0.958,-2.627,0.958,0.005,0.006,40717.0,11207.0,1.0
participant_intercept[51],-0.777,0.975,-2.617,1.087,0.005,0.007,43832.0,10093.0,1.0
participant_intercept[52],-0.526,0.994,-2.419,1.304,0.005,0.008,35421.0,9586.0,1.0
participant_intercept[53],-0.301,0.987,-2.145,1.565,0.005,0.009,40769.0,10667.0,1.0
participant_intercept[54],0.087,0.985,-1.782,1.94,0.005,0.009,40121.0,10834.0,1.0
participant_intercept[55],0.939,0.987,-0.908,2.778,0.005,0.006,37864.0,10975.0,1.0
participant_intercept[56],-0.91,0.983,-2.83,0.878,0.005,0.006,43648.0,11174.0,1.0
participant_intercept[57],-0.431,0.983,-2.297,1.39,0.005,0.009,34456.0,10354.0,1.0
participant_intercept[58],2.348,0.96,0.538,4.159,0.005,0.004,38741.0,11032.0,1.0
participant_intercept[59],0.461,0.976,-1.344,2.356,0.005,0.008,42236.0,11106.0,1.0
participant_intercept[60],-1.177,1.004,-3.048,0.733,0.005,0.006,41141.0,10881.0,1.0
participant_intercept[61],-0.722,0.956,-2.56,1.034,0.005,0.007,33973.0,11154.0,1.0
participant_intercept[62],-0.065,0.96,-1.896,1.688,0.005,0.009,38187.0,10586.0,1.0
participant_intercept[63],-0.803,0.981,-2.68,1.014,0.005,0.007,43260.0,10802.0,1.0
participant_intercept[64],-0.595,0.995,-2.466,1.268,0.005,0.008,42134.0,10726.0,1.0
participant_intercept[65],-1.069,0.981,-2.944,0.708,0.005,0.006,41540.0,11103.0,1.0
participant_intercept[66],-0.859,0.963,-2.681,0.947,0.005,0.006,36619.0,11052.0,1.0
participant_intercept[67],-0.179,0.996,-1.973,1.781,0.005,0.01,40356.0,10690.0,1.0
participant_intercept[68],0.939,0.994,-0.962,2.778,0.005,0.007,39984.0,10068.0,1.0
participant_intercept[69],0.943,0.966,-0.858,2.763,0.005,0.006,38626.0,11016.0,1.0
participant_intercept[70],-0.937,1.007,-2.874,0.909,0.005,0.006,37900.0,11284.0,1.0
participant_intercept[71],-1.844,0.952,-3.61,-0.021,0.005,0.005,40244.0,10312.0,1.0
participant_intercept[72],-2.147,0.964,-3.897,-0.31,0.005,0.004,43323.0,10201.0,1.0
participant_intercept[73],-0.071,0.99,-1.908,1.822,0.005,0.01,40361.0,10115.0,1.0
participant_intercept[74],-0.9,0.972,-2.663,0.99,0.005,0.006,39372.0,9910.0,1.0
participant_intercept[75],-0.308,0.989,-2.141,1.533,0.005,0.009,42821.0,10118.0,1.0
participant_intercept[76],-1.141,0.972,-2.931,0.697,0.005,0.006,43738.0,10506.0,1.0
participant_intercept[77],-0.1,0.983,-1.897,1.781,0.005,0.009,38949.0,11250.0,1.0
participant_intercept[78],0.084,0.979,-1.779,1.916,0.005,0.01,42544.0,10465.0,1.0
participant_intercept[79],0.199,0.982,-1.661,2.009,0.005,0.009,42013.0,10053.0,1.0
participant_intercept[80],-0.396,0.984,-2.25,1.44,0.005,0.009,38900.0,10984.0,1.0
participant_intercept[81],-0.053,0.964,-1.831,1.757,0.005,0.009,36845.0,11425.0,1.0
participant_intercept[82],1.576,0.976,-0.285,3.387,0.005,0.005,44327.0,11218.0,1.0
participant_intercept[83],0.944,0.993,-1.027,2.718,0.005,0.007,41825.0,10920.0,1.0
participant_intercept[84],-0.113,0.991,-2.1,1.655,0.005,0.009,39161.0,10842.0,1.0
participant_intercept[85],0.845,0.972,-0.961,2.691,0.005,0.007,39085.0,10527.0,1.0
participant_intercept[86],-0.178,0.981,-2.061,1.619,0.005,0.009,39610.0,11010.0,1.0
participant_intercept[87],-0.892,0.993,-2.709,1.018,0.005,0.006,39335.0,11310.0,1.0
participant_intercept[88],-1.423,0.986,-3.229,0.476,0.005,0.005,45391.0,10966.0,1.0
participant_intercept[89],-1.374,0.971,-3.223,0.439,0.005,0.005,39425.0,10346.0,1.0
participant_intercept[90],0.515,0.98,-1.338,2.34,0.005,0.008,40994.0,10833.0,1.0
participant_intercept[91],-0.015,0.979,-1.809,1.855,0.005,0.01,37863.0,11221.0,1.0
participant_intercept[92],-0.827,0.964,-2.628,0.953,0.005,0.007,40842.0,10444.0,1.0
participant_intercept[93],-0.514,0.986,-2.39,1.339,0.005,0.008,40603.0,10772.0,1.0
participant_intercept[94],-0.79,0.976,-2.56,1.096,0.005,0.007,41485.0,9760.0,1.0
